Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Role of p14/p19ARF in Tumor Suppression	0.81	0.241	1.134	"E2F1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RB1"
Methylthiopropionate Biosynthesis	0.807	1	NaN	ADI1
Glutamine Biosynthesis I	0.807	1	NaN	GLUL
Histamine Biosynthesis	0.807	1	NaN	HDC
D-mannose Degradation	0.807	1	NaN	MPI
Cysteine Biosynthesis III (mammalia)	0.796	0.25	1.633	"AHCY,AHCYL2,FTSJ1,MAT1A,MRM2,PRMT5"
UVC-Induced MAPK Signaling	0.79	0.216	-0.302	"EGFR,MAPK1,MAPK10,MAPK14,MAPK8,NRAS,PRKCB,PRKD1,RALA,RAP1A,RAP2B"
Granzyme A Signaling	0.788	0.263	NaN	"APEX1,CREBBP,H1-10,NME1,PRF1"
DNA Double-Strand Break Repair by Non-Homologous End Joining	0.788	0.286	NaN	"ATM,LIG3,LIG4,WRN"
GADD45 Signaling	0.788	0.263	NaN	"ATM,CCND1,CCND2,CCNE2,CDKN1A"
Remodeling of Epithelial Adherens Junctions	0.78	0.206	-0.816	"ACTN4,ARF6,ARPC4,ARPC5,CTNNA2,CTNNB1,CTNND1,EXOC2,MAPRE2,NME1,RAB5B,RALA,TUBA4A,VCL"
IL-17A Signaling in Fibroblasts	0.772	0.229	NaN	"GSK3B,IL17A,MAP3K7,MAPK1,MAPK14,NFKBIB,NFKBIE,NFKBIZ"
Noradrenaline and Adrenaline Degradation	0.772	0.229	2.828	"ADH5,AKR1A1,ALDH1A3,ALDH1B1,DHRS2,DHRS4,DHRS9,MAOB"
CD28 Signaling in T Helper Cells	0.77	0.192	-2.065	"AKT3,ARPC4,ARPC5,CALM1 (includes others),CD247,CD86,CDC42,HLA-DMB,MAPK10,MAPK8,NFAT5,NFATC2,NFATC3,NFKBIB,NFKBIE,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP3R1,SYK"
Glioma Invasiveness Signaling	0.77	0.203	-0.577	"CDC42,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,RHOA,RHOBTB2,RHOH,RND1"
Glutamate Degradation III (via 4-aminobutyrate)	0.754	0.4	NaN	"GAD1,SUCLG2"
IL-10 Signaling	0.745	0.203	NaN	"IL1F10,IL1RAPL1,IL1RN,IL36RN,MAP2K6,MAP3K7,MAP4K4,MAPK1,MAPK14,MAPK8,NFKBIB,NFKBIE,SP1,STAT3"
SPINK1 General Cancer Pathway	0.745	0.203	-1.069	"AKT3,EGFR,JAK2,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,STAT3"
14-3-3-mediated Signaling	0.74	0.189	-1.964	"AKT3,CBL,GSK3B,MAPK1,MAPK10,MAPK8,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PRKCB,PRKD1,RALA,RAP1A,RAP2B,STRADA,TP73,TUBA4A,YAP1,YWHAG"
IL-17A Signaling in Gastric Cells	0.735	0.24	0	"EGFR,IL17A,MAPK1,MAPK10,MAPK14,MAPK8"
nNOS Signaling in Neurons	0.726	0.213	-0.447	"CALM1 (includes others),CAMK2A,CAPN10,CAPN8,DLG2,GRIN2B,GRINA,PPP3R1,PRKCB,PRKD1"
Embryonic Stem Cell Differentiation into Cardiac Lineages	0.708	0.3	NaN	"ISL1,NKX2-5,SP4"
Prostanoid Biosynthesis	0.708	0.3	NaN	"HPGDS,PTGS1,PTGS2"
Choline Biosynthesis III	0.708	0.267	NaN	"NAPEPLD,PCYT1A,PCYT1B,PLD5"
Glycine Betaine Degradation	0.708	0.3	NaN	"BHMT,PIPOX,SARDH"
EIF2 Signaling	0.701	0.179	-1.8	"AGO1,AGO2,AGO3,AGO4,AKT3,CCND1,EIF2AK4,EIF2B2,EIF3H,EIF3I,EIF3J,EIF3M,EIF4A1,EIF4E,EIF4G1,EIF5B,GSK3B,INSR,MAPK1,NKX6-2,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP1CB,PPP1CC,RALA,RAP1A,RAP2B,RPL14,RPS16,RPS24,RPS27A,SOS1,VEGFA,WARS1,XIAP"
Triacylglycerol Biosynthesis	0.701	0.214	0.333	"AGPAT2,AGPAT3,CRLS1,GPAM,LCLAT1,LPIN1,LPIN2,PLPP3,TAZ"
Regulation of Actin-based Motility by Rho	0.684	0.191	1	"ARHGDIA,ARPC4,ARPC5,CDC42,ITGB1,LIMK1,MPRIP,PAK2,PAK5,PIKFYVE,PIP4K2B,PIP5K1A,PPP1CB,RHOA,RHOBTB2,RHOH,RND1,ROCK1"
Heparan Sulfate Biosynthesis (Late Stages)	0.678	0.197	1.069	"CES3,CHST11,CHST15,EXT2,GLCE,HS3ST1,HS3ST3A1,HS3ST3B1,HS6ST1,NDST1,PRDX6,RPE65,TARS2,UST"
Oncostatin M Signaling	0.66	0.209	-0.333	"JAK2,MAPK1,NRAS,RALA,RAP1A,RAP2B,SOS1,STAT3,STAT5B"
Eicosanoid Signaling	0.654	0.197	2.449	"ALOX15,CYSLTR1,CYSLTR2,HPGDS,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PLA2R1,PTGIR,PTGS1,PTGS2"
Heparan Sulfate Biosynthesis	0.642	0.192	1.291	"B4GALT7,CES3,CHST11,CHST15,EXT2,GLCE,HS3ST1,HS3ST3A1,HS3ST3B1,HS6ST1,NDST1,PRDX6,RPE65,TARS2,UST"
Extrinsic Prothrombin Activation Pathway	0.635	0.25	NaN	"F7,FGB,FGG,THBD"
FXR/RXR Activation	0.623	0.183	NaN	"ABCG8,AKT3,APOL1,CREBBP,FOXA1,FOXA2,G6PC2,G6PC3,HNF1A,HPX,IL1F10,IL1RN,IL36RN,LIPC,MAPK10,MAPK8,PKLR,PPARG,PPARGC1A,RARA,SDC1,SLC22A7,VLDLR"
NAD Biosynthesis from 2-amino-3-carboxymuconate Semialdehyde	0.623	0.333	NaN	"NMNAT2,NMNAT3"
Ceramide Biosynthesis	0.623	0.333	NaN	"SPTLC2,SPTSSA"
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	0.623	0.333	NaN	"HAAO,IDO1"
Zymosterol Biosynthesis	0.623	0.333	NaN	"HSD17B7,LBR"
GDP-mannose Biosynthesis	0.623	0.333	NaN	"GMPPB,MPI"
Amyotrophic Lateral Sclerosis Signaling	0.606	0.186	-0.775	"AKT3,CACNA1C,CAPN10,CAPN8,GDNF,GLUL,GRIA1,GRIK2,GRIN2B,GRINA,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RAB5B,VEGFA,XIAP"
iNOS Signaling	0.582	0.2	1.134	"CALM1 (includes others),CREBBP,HMGA1,IRAK2,JAK2,MAPK1,MAPK14,NFKBIB,NFKBIE"
Xenobiotic Metabolism CAR Signaling Pathway	0.572	0.175	0.522	"ABCC1,ALDH18A1,ALDH1A3,ALDH1B1,CHST11,CHST15,CREBBP,DNAJC7,EGFR,GRIP1,GSTM5,HS3ST1,HS3ST3A1,HS3ST3B1,HS6ST1,MAP2K6,MAPK1,MED1,NCOA1,NDST1,PPARGC1A,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PRKCB,PRKD1,RACK1,UGT8,UST"
Role of PKR in Interferon Induction and Antiviral Response	0.558	0.179	-2.982	"CASP5,CASP8,DNAJC3,E2F1,HMGB1,HSPA9,MAP2K6,MAP3K7,MAPK1,MAPK10,MAPK14,MAPK8,MAVS,NFKBIB,NFKBIE,PDGFA,PDGFB,SCARA3,SP1,STAT3,TRAF3"
"Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism"	0.547	0.217	-1.342	"INPP1,ITPKB,OCRL,PTEN,SEC16A"
Ethanol Degradation IV	0.547	0.217	1.342	"ACSL1,ACSS3,ALDH1A3,ALDH1B1,CYGB"
Apelin Cardiac Fibroblast Signaling Pathway	0.547	0.217	-0.447	"AKT3,APLN,PRKAA2,PRKAB2,PRKAG1"
Cleavage and Polyadenylation of Pre-mRNA	0.545	0.25	NaN	"CPSF6,CSTF1,CSTF2"
Guanosine Nucleotides Degradation III	0.545	0.25	NaN	"GDA,NT5C,NT5C1B"
Spermine Biosynthesis	0.541	0.5	NaN	AMD1
Choline Degradation I	0.541	0.5	NaN	CHDH
Alanine Degradation III	0.541	0.5	NaN	GPT2
Flavin Biosynthesis IV (Mammalian)	0.541	0.5	NaN	RFK
Alanine Biosynthesis II	0.541	0.5	NaN	GPT2
GDP-L-fucose Biosynthesis II (from L-fucose)	0.541	0.5	NaN	FPGT
Spermidine Biosynthesis I	0.541	0.5	NaN	AMD1
Sulfate Activation for Sulfonation	0.541	0.5	NaN	PAPSS2
Putrescine Biosynthesis III	0.541	0.5	NaN	ODC1
Formaldehyde Oxidation II (Glutathione-dependent)	0.541	0.5	NaN	ADH5
Glutamate Biosynthesis II	0.541	0.5	NaN	GLUD2
Glutamate Degradation X	0.541	0.5	NaN	GLUD2
Glutamate Dependent Acid Resistance	0.541	0.5	NaN	GAD1
DNA Methylation and Transcriptional Repression Signaling	0.523	0.2	NaN	"ARID4B,CHD3,DNMT3A,H3-3A/H3-3B,MBD2,MECP2,RBBP7"
TWEAK Signaling	0.523	0.2	-1.134	"CASP8,NFKBIB,NFKBIE,TNFRSF25,TRAF1,TRAF3,XIAP"
Thioredoxin Pathway	0.523	0.286	NaN	"TXNRD2,TXNRD3"
Phosphatidylcholine Biosynthesis I	0.523	0.286	NaN	"PCYT1A,PCYT1B"
NAD Salvage Pathway III	0.523	0.286	NaN	"NMNAT2,NMNAT3"
Nucleotide Excision Repair Pathway	0.523	0.2	NaN	"ERCC2,GTF2H1,GTF2H2,GTF2H5,MNAT1,POLR2F,RPA1"
Purine Nucleotides Degradation II (Aerobic)	0.514	0.222	0	"GDA,IMPDH1,NT5C,NT5C1B"
"D-myo-inositol (1,3,4)-trisphosphate Biosynthesis"	0.514	0.222	-2	"ITPKB,OCRL,PTEN,SEC16A"
LPS/IL-1 Mediated Inhibition of RXR Function	0.504	0.17	-0.302	"ABCG8,ACSL1,ACSL4,ACSL5,ACSL6,ALAS1,ALDH18A1,ALDH1A3,ALDH1B1,CHST11,CHST15,CPT1A,ECSIT,FABP2,GSTM5,HMGCS2,HS3ST1,HS3ST3A1,HS3ST3B1,HS6ST1,IL1F10,IL1RAPL1,IL1RN,IL36RN,LIPC,MAOB,MAP3K7,MAPK8,NCOA1,NDST1,PAPSS2,PPARGC1A,PPARGC1B,RARA,SLC27A4,SLCO1A2,UST,XPO1"
Tumoricidal Function of Hepatic Natural Killer Cells	0.499	0.208	NaN	"AIFM1,CASP8,DFFB,LYVE1,PRF1"
TCA Cycle II (Eukaryotic)	0.499	0.208	0.447	"ACO1,CS,DLST,SDHD,SUCLG1"
Necroptosis Signaling Pathway	0.492	0.172	2.887	"AXL,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAPN10,CAPN8,CASP10,CASP8,DAPK1,GLUL,MAP3K7,PGAM5,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PPP3R1,RB1,TIMM17A,TIMM22,TIMM44,TIMM8B,TNFSF10,TOMM40L,TYRO3"
Retinol Biosynthesis	0.483	0.19	1.414	"BCO1,CES1,CES3,DDHD2,DHRS9,LIPC,RBP7,RDH10"
Chondroitin Sulfate Biosynthesis (Late Stages)	0.481	0.188	-0.333	"CHST11,CHST15,CHSY1,HS3ST1,HS3ST3A1,HS3ST3B1,HS6ST1,NDST1,UST"
Oleate Biosynthesis II (Animals)	0.48	0.231	NaN	"FADS2,PTPRT,SCD"
Cholesterol Biosynthesis I	0.48	0.231	NaN	"HSD17B7,LBR,SC5D"
Urate Biosynthesis/Inosine 5'-phosphate Degradation	0.48	0.231	NaN	"IMPDH1,NT5C,NT5C1B"
"Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)"	0.48	0.231	NaN	"HSD17B7,LBR,SC5D"
Cholesterol Biosynthesis III (via Desmosterol)	0.48	0.231	NaN	"HSD17B7,LBR,SC5D"
Th1 Pathway	0.476	0.174	0.229	"APH1A,CD247,CD274,CD86,DLL1,HLA-DMB,IL12B,JAK2,MAP2K6,NFATC2,NFATC3,NOTCH4,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RUNX3,STAT3,STAT4,TNFSF11"
Oxidative Ethanol Degradation III	0.463	0.211	1	"ACSL1,ACSS3,ALDH1A3,ALDH1B1"
"D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis"	0.456	0.2	1.342	"PIKFYVE,PIP4K2B,PIP5K1A,PLCB1,PLCB4"
Autophagy	0.455	0.18	NaN	"ATG12,ATG13,ATG16L1,ATG3,ATG9B,BECN1,CTSD,LAMP2,STX17,VPS18,WDFY3"
Superpathway of Methionine Degradation	0.451	0.189	1.89	"AHCY,AHCYL2,BHMT,FTSJ1,MAT1A,MRM2,PRMT5"
Serotonin Receptor Signaling	0.451	0.186	NaN	"ADCY2,ADCY3,ADCY5,GCH1,HTR1D,HTR2A,MAOB,TPH2"
Inositol Pyrophosphates Biosynthesis	0.441	0.25	NaN	"IP6K1,PPIP5K2"
Type I Diabetes Mellitus Signaling	0.433	0.171	0.832	"CASP8,CD247,CD86,CPE,GAD1,HLA-DMB,IL12B,JAK2,MAP2K6,MAP3K7,MAPK1,MAPK10,MAPK14,MAPK8,NFKBIB,NFKBIE,PRF1,SOCS6,SOCS7"
Chondroitin Sulfate Biosynthesis	0.426	0.179	0	"B4GALT7,CHST11,CHST15,CHSY1,HS3ST1,HS3ST3A1,HS3ST3B1,HS6ST1,NDST1,UST"
Myc Mediated Apoptosis Signaling	0.424	0.18	-1.667	"BCL2L11,CASP8,CREBBP,MCL1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B"
DNA Double-Strand Break Repair by Homologous Recombination	0.424	0.214	NaN	"ATM,ATRX,RPA1"
Role of RIG1-like Receptors in Antiviral Innate Immunity	0.421	0.182	-0.447	"CASP10,CASP8,CREBBP,MAVS,NFKBIB,NFKBIE,TRAF3,TRIM25"
The Visual Cycle	0.418	0.2	1	"DHRS9,RBP7,RDH10,RPE65"
Fatty Acid ?-oxidation I	0.418	0.188	0	"ACSL1,ACSL4,ACSL5,ACSL6,ECI2,SLC27A4"
NAD Salvage Pathway II	0.417	0.192	0.447	"ACP1,NMNAT2,NMNAT3,NT5C,NT5C1B"
Phagosome Formation	0.406	0.168	NaN	"CDC42,CLEC7A,FCAMR,ITGB1,MARCKS,MRC2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PRKCB,PRKD1,RHOA,RHOBTB2,RHOH,RND1,SCARA3,SYK"
Phospholipases	0.405	0.175	1.897	"LIPC,NAPEPLD,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PLA2R1,PLCB1,PLCB4,PLD5"
Glutamate Receptor Signaling	0.401	0.175	-1.342	"CALM1 (includes others),GLUL,GRIA1,GRIK2,GRIN2B,GRINA,GRIP1,GRM5,SLC1A1,SLC1A4"
Thyronamine and Iodothyronamine Metabolism	0.399	0.333	NaN	DIO2
Tetrahydrobiopterin Biosynthesis I	0.399	0.333	NaN	GCH1
D-glucuronate Degradation I	0.399	0.333	NaN	AKR1A1
Methionine Salvage II (Mammalian)	0.399	0.333	NaN	BHMT
Thyroid Hormone Biosynthesis	0.399	0.333	NaN	CTSD
Glycerol-3-phosphate Shuttle	0.399	0.333	NaN	GPD2
Thyroid Hormone Metabolism I (via Deiodination)	0.399	0.333	NaN	DIO2
Tetrahydrobiopterin Biosynthesis II	0.399	0.333	NaN	GCH1
S-adenosyl-L-methionine Biosynthesis	0.399	0.333	NaN	MAT1A
Tyrosine Biosynthesis IV	0.399	0.333	NaN	PCBD2
4-aminobutyrate Degradation I	0.399	0.333	NaN	SUCLG2
Systemic Lupus Erythematosus In T Cell Signaling Pathway	0.396	0.162	0	"AKT3,BCL6,CASP10,CASP5,CASP8,CBL,CD247,CD86,CDC42,CREB1,CREB3,CREB5,CREBBP,ESR1,GNA12,GNAI2,GNAI3,HLA-DMB,IL12B,IL17A,IRF4,MAP2K6,MAPK1,NFATC2,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PPP3R1,RALA,RAP1A,RAP2B,RDX,RHOA,RHOBTB2,RHOH,RND1,ROCK1,ROCK2,RPS6KB2,SELPLG,SOS1,SP1,STAT3,SYK"
Antiproliferative Role of TOB in T Cell Signaling	0.389	0.179	-0.378	"CCNA2,CCNE2,CD247,MAPK1,RB1,SMAD2,SMAD3"
MSP-RON Signaling Pathway	0.377	0.172	NaN	"CSF1,IL12B,JAK2,KLK15,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RPS6KA2"
Telomere Extension by Telomerase	0.375	0.2	NaN	"HNRNPA2B1,TNKS,TNKS2"
Dermatan Sulfate Biosynthesis (Late Stages)	0.367	0.174	0	"CHST11,CHST15,HS3ST1,HS3ST3A1,HS3ST3B1,HS6ST1,NDST1,UST"
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	0.362	0.167	NaN	"CD79B,CD86,CSF1,CXCL13,HLA-DMB,IL12B,IL17A,IL1F10,IL1RN,IL36RN,SLAMF1,TNFRSF13C,TNFSF11,TNFSF13,TRAF3"
Dermatan Sulfate Biosynthesis	0.355	0.169	0	"B4GALT7,CHST11,CHST15,CHSY1,HS3ST1,HS3ST3A1,HS3ST3B1,HS6ST1,NDST1,UST"
NER Pathway	0.355	0.165	1.807	"COPS7B,DDB1,ERCC2,GTF2H1,GTF2H2,GTF2H5,H3-3A/H3-3B,LIG3,LIG4,MNAT1,POLE3,POLR2F,PRIM2,RFC1,RNF111,RPA1,UBE2I"
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	0.348	0.162	-1.732	"CLEC7A,CNTF,CREB1,EDA,IL11,IL12B,IL17A,IL17D,IL1F10,MAPK1,MAPK10,MAPK8,MAVS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,SYK,TNFSF10,TNFSF11,TNFSF13,TNFSF9"
Hepatic Fibrosis / Hepatic Stellate Cell Activation	0.344	0.161	NaN	"BAMBI,CERT1,COL15A1,COL19A1,COL20A1,COL23A1,COL24A1,COL27A1,COL28A1,COL3A1,COL6A5,COL8A1,CSF1,EDN1,EGF,EGFR,FGF1,FGF2,IGFBP5,IL1RAPL1,MYH11,PDGFA,PDGFB,PDGFRA,SMAD2,SMAD3,SMAD7,TGFA,VCAM1,VEGFA"
Triacylglycerol Degradation	0.342	0.17	1.414	"CES1,CES3,DDHD2,LIPC,NDST1,PRDX6,RPE65,TARS2"
Mechanisms of Viral Exit from Host Cells	0.334	0.171	NaN	"PRKCB,PRKD1,SH3GLB1,SH3GLB2,VPS37C,VPS4A,XPO1"
Retinoic acid Mediated Apoptosis Signaling	0.333	0.167	0.632	"CASP8,PARP10,PARP16,PARP6,PARP9,RARA,RARB,TNFSF10,TNKS,TNKS2"
Granzyme B Signaling	0.332	0.188	NaN	"CASP8,DFFB,PRF1"
Mismatch Repair in Eukaryotes	0.332	0.188	NaN	"MSH6,RFC1,RPA1"
Androgen Biosynthesis	0.332	0.188	NaN	"HSD3B1,HSD3B2,SRD5A3"
Parkinson's Signaling	0.332	0.188	NaN	"MAPK1,MAPK14,MAPK8"
Coagulation System	0.327	0.171	1.633	"F7,FGB,FGG,PLAT,SERPINA5,THBD"
Calcium Transport I	0.321	0.2	NaN	"ATP2B2,ATP2B4"
Serotonin Degradation	0.32	0.164	2.714	"ADH5,AKR1A1,ALDH1A3,ALDH1B1,DHRS2,DHRS4,DHRS9,EXT2,LARGE1,LARGE2,MAOB"
Superpathway of Cholesterol Biosynthesis	0.318	0.172	1.342	"HMGCR,HMGCS2,HSD17B7,LBR,SC5D"
Arsenate Detoxification I (Glutaredoxin)	0.307	0.25	NaN	GLRX2
Retinoate Biosynthesis II	0.307	0.25	NaN	RBP7
PRPP Biosynthesis I	0.307	0.25	NaN	PRPS1
Phenylethylamine Degradation I	0.307	0.25	NaN	AOC2
Melatonin Degradation II	0.307	0.25	NaN	MAOB
Phenylalanine Degradation I (Aerobic)	0.307	0.25	NaN	PCBD2
Molybdenum Cofactor Biosynthesis	0.307	0.25	NaN	MOCS2
"Fatty Acid ?-oxidation III (Unsaturated, Odd Number)"	0.307	0.25	NaN	ECI2
Dendritic Cell Maturation	0.305	0.158	0.378	"AKT3,CD86,COL3A1,CREB1,CREB3,CREB5,CREBBP,FSCN3,HLA-DMB,IL12B,IL1F10,IL1RN,IL36RN,JAK2,MAPK1,MAPK10,MAPK14,MAPK8,NFKBIB,NFKBIE,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,STAT4,ZBTB12"
IL-12 Signaling and Production in Macrophages	0.302	0.159	NaN	"AKT3,ALOX15,APOL1,IL12B,MAF,MAPK1,MAPK10,MAPK14,MAPK8,NCOA1,NFKBIB,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPARG,PRKCB,PRKD1,STAT4,ZNF668"
Atherosclerosis Signaling	0.297	0.159	NaN	"ALOX15,APOL1,CD36,CMA1,COL3A1,CSF1,GLG1,IL1F10,IL1RN,IL36RN,PDGFA,PDGFB,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PLA2R1,SELPLG,VCAM1"
"D-myo-inositol (1,4,5)-trisphosphate Degradation"	0.293	0.176	NaN	"INPP1,OCRL,SEC16A"
TNFR2 Signaling	0.29	0.167	1.342	"MAPK8,NFKBIB,NFKBIE,TRAF1,XIAP"
BAG2 Signaling Pathway	0.287	0.163	1.134	"CDKN1A,CHRNA7,HSPA9,MAPK1,MAPK14,PSME3,SP1"
Unfolded protein response	0.286	0.161	-1.134	"AMFR,CD82,DNAJA2,DNAJC3,HSPA9,INSIG1,MAPK8,MBTPS2,PPARG"
TNFR1 Signaling	0.277	0.16	-0.707	"CASP8,CDC42,MAPK8,NFKBIB,NFKBIE,PAK2,PAK5,XIAP"
Ketogenesis	0.275	0.182	NaN	"BDH1,HMGCS2"
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	0.26	0.167	NaN	"ITPKB,OCRL,SEC16A"
Methylglyoxal Degradation III	0.26	0.167	NaN	"AKR1A1,AKR1B1,ZADH2"
"Tryptophan Degradation X (Mammalian, via Tryptamine)"	0.249	0.16	2	"AKR1A1,ALDH1A3,ALDH1B1,MAOB"
Protein Citrullination	0.243	0.2	NaN	PADI1
Creatine-phosphate Biosynthesis	0.243	0.2	NaN	MAP4K4
2-ketoglutarate Dehydrogenase Complex	0.243	0.2	NaN	DLST
"Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate"	0.243	0.2	NaN	MTHFD1
Serine Biosynthesis	0.243	0.2	NaN	PSAT1
Lysine Degradation V	0.243	0.2	NaN	PIPOX
Folate Polyglutamylation	0.243	0.2	NaN	MTHFD1
Assembly of RNA Polymerase I Complex	0.237	0.167	NaN	"POLR1C,POLR2F"
Mineralocorticoid Biosynthesis	0.237	0.167	NaN	"HSD3B1,HSD3B2"
BER pathway	0.237	0.167	NaN	"APEX1,LIG3"
DNA damage-induced 14-3-3? Signaling	0.231	0.158	NaN	"AKT3,ATM,CCNE2"
Arginine Biosynthesis IV	0.194	0.167	NaN	GLUD2
Proline Biosynthesis II (from Arginine)	0.194	0.167	NaN	PYCR2
Pyruvate Fermentation to Lactate	0.194	0.167	NaN	LDHA
Chondroitin and Dermatan Biosynthesis	0.194	0.167	NaN	CHSY1
Serotonin and Melatonin Biosynthesis	0.194	0.167	NaN	TPH2
Arginine Degradation VI (Arginase 2 Pathway)	0.194	0.167	NaN	PYCR2
Pentose Phosphate Pathway (Non-oxidative Branch)	0.194	0.167	NaN	TALDO1
Glycerol Degradation I	0.194	0.167	NaN	GPD2
UDP-N-acetyl-D-glucosamine Biosynthesis II	0.194	0.167	NaN	GFPT1
Rapoport-Luebering Glycolytic Shunt	0.194	0.167	NaN	BPGM
LXR/RXR Activation	0	0.107	-0.333	"ABCG4,ABCG8,APOL1,CD36,HMGCR,HPX,IL1F10,IL1RAPL1,IL1RN,IL36RN,LDLR,PTGS2,SCD"
Mitochondrial Dysfunction	0	0.146	NaN	"ACO1,AIFM1,APH1A,APP,ATP5F1C,ATP5MC3,BACE2,CASP8,COX15,COX17,COX6B1,COX7A2L,CPT1A,DHODH,FURIN,GLRX2,GPD2,HTRA2,MAOB,MAPK10,MAPK8,MT-ND4L,NDUFA4L2,SDHD,TXNRD2"
Activation of IRF by Cytosolic Pattern Recognition Receptors	0	0.127	-1.414	"CREBBP,IFIT2,MAPK10,MAPK8,MAVS,NFKBIB,NFKBIE,TRAF3"
Caveolar-mediated Endocytosis Signaling	0	0.151	NaN	"CD48,EGF,EGFR,INSR,ITGA1,ITGB1,ITGB8,ITSN1,MAP3K2,RAB5B,ZBTB12"
TREM1 Signaling	0	0.133	0.632	"AKT3,CASP5,CD86,CIITA,ITGB1,JAK2,MAPK1,NLRP6,STAT3,STAT5B"
Calcium-induced T Lymphocyte Apoptosis	0	0.106	-0.378	"CALM1 (includes others),CD247,HLA-DMB,NFATC2,PPP3R1,PRKCB,PRKD1"
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	0	0.147	1	"CASP8,CD247,DFFB,PRF1,ZBTB12"
Induction of Apoptosis by HIV1	0	0.148	-1	"CASP8,DFFB,HTRA2,MAPK10,MAPK8,NFKBIB,NFKBIE,TRAF1,XIAP"
T Helper Cell Differentiation	0	0.11	NaN	"BCL6,CD86,HLA-DMB,IL12B,IL17A,IL2RA,STAT3,STAT4"
Role of Cytokines in Mediating Communication between Immune Cells	0	0.0926	NaN	"IL12B,IL17A,IL1F10,IL1RN,IL36RN"
Lipid Antigen Presentation by CD1	0	0.115	NaN	"AP2B1,AP2M1,ARF6"
Mitotic Roles of Polo-Like Kinase	0	0.152	NaN	"PLK1,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,SLK,WEE1"
Primary Immunodeficiency Signaling	0	0.08	NaN	"CIITA,RFX5,TAP2,TNFRSF13C"
Allograft Rejection Signaling	0	0.0349	NaN	"CD86,HLA-DMB,PRF1"
Autoimmune Thyroid Disease Signaling	0	0.0816	NaN	"CD86,HLA-DMB,PRF1,TG"
Graft-versus-Host Disease Signaling	0	0.125	NaN	"CD86,HLA-DMB,IL1F10,IL1RN,IL36RN,PRF1"
Communication between Innate and Adaptive Immune Cells	0	0.0833	NaN	"CD79B,CD86,IL12B,IL1F10,IL1RN,IL36RN,TNFRSF13C,TNFSF13"
Crosstalk between Dendritic Cells and Natural Killer Cells	0	0.135	2.714	"CAMK2A,CAMK2B,CAMK2D,CAMK2G,CD226,CD86,FSCN3,IL12B,IL15RA,IL2RB,PRF1,TNFSF10"
Systemic Lupus Erythematosus Signaling	0	0.14	NaN	"AKT3,C7,CBL,CD247,CD2BP2,CD79B,CD86,HNRNPA2B1,IL1F10,IL1RN,IL36RN,LSM11,LSM6,MAPK1,NFAT5,NFATC2,NFATC3,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRPF38B,PRPF4B,RALA,RAP1A,RAP2B,SF3B4,SNRPD3,SOS1,TNFRSF13C"
